query	intent	doc	label
417,1426,4826	5040,2839,1560,6932	product_id_1515327	1
417,1426,4826	5040,2839,1560,6932	product_id_1515362	1
417,1426,4826	5187,2096,6932,1211	product_id_1515289	1
417,1426,4826	5187,2096,6932,1211	product_id_1515305	1
417,1426,4826	778,1815,1737,2096,5187,2096,4103,1211	product_id_1515362	1
417,1426,4826	2540,7078	product_id_1515324	1
417,1426,4826	1093,1296,1523	product_id_1515362	1
417,1426,4826	2096,3811,6678	product_id_1515326	1
417,1426,4826	2096,3811,6678	product_id_1515328	1
417,1426,4826	4853,5934,476	product_id_1515306	1
417,1426,4826	4270,401,3421,1531	product_id_1515289	1
417,1426,4826	1296,2228,1523	product_id_1515292	1
417,1426,4826	6226,2433,6657	product_id_1515305	1
417,1426,4826	673,3234,1307	product_id_1515455	1
417,1426,4826	767,1211,1926	product_id_1515305	1
417,1426,4826	5216,1922,6285	product_id_1515337	1
417,1426,4826	1841,5525	product_id_1515334	1
417,1426,4826	4283,2263,4888	product_id_1515294	1
417,1426,4826	417,4879,4826,7283,21355,9672,10294,7284	product_id_1515298	1
417,1426,4826	751,2766	product_id_1515455	1
417,1426,4826	448,7207,4926,772	product_id_1515323	1
417,1426,4826	448,7207,4926,772	product_id_1515458	1
417,1426,4826	5747,6932,2657,532	product_id_1515464	1
417,1426,4826	5460,7202	product_id_1515466	1
417,1426,4826	5460,7202	product_id_1515467	1
417,1426,4826	3050,3069,5959	product_id_1515469	1
417,1426,4826	3050,3069,5959	product_id_1515470	1
417,1426,4826	1905,5464	product_id_1515473	1
417,1426,4826	3667,4815	product_id_1515320	1
417,1426,4826	3667,4815	product_id_1515475	1
417,1426,4826	3667,4815	product_id_1515476	1
417,1426,4826	1107,2289	product_id_1515477	1
417,1426,4826	1107,2289	product_id_1515478	1
417,1426,4826	1107,2289	product_id_1515479	1
431,1945,563	1847,1922,2888	product_id_1515523	1
431,1945,563	787,5759	product_id_1515538	1
431,1945,563	787,5759	product_id_1515676	1
431,1945,563	787,5759	product_id_1515677	1
431,1945,563	1008,5717	product_id_1515514	1
431,1945,563	4318,5755	product_id_1515661	1
431,1945,563	2085,5814,5759	product_id_1515538	1
431,1945,563	2085,5814,5759	product_id_1515676	1
431,1945,563	2085,5814,5759	product_id_1515677	1
431,1945,563	4811,5759	product_id_1515518	1
431,1945,563	2446,2103,5721	product_id_1515508	1
431,1945,563	4499,5717	product_id_1515602	1
431,1945,563	1411,5814,5759	product_id_1515538	1
431,1945,563	1411,5814,5759	product_id_1515677	1
431,1945,563	6229,5759,5739	product_id_1515642	1
431,1945,563	6229,5759,5739	product_id_1515659	1
431,1945,563	6229,5759,5739	product_id_833423	1
431,1945,563	448,854,5759	product_id_1515515	1
431,1945,563	5159,6127,5739	product_id_833423	1
431,1945,563	2142,5721	product_id_1515510	1
431,1945,563	4355,5759	product_id_1515538	1
431,1945,563	4355,5759	product_id_1515676	1
431,1945,563	4355,5759	product_id_1515677	1
431,1945,563	385,854,5759	product_id_1515481	1
431,1945,563	385,854,5759	product_id_1515666	1
431,1945,563	1008,5759	product_id_1515538	1
431,1945,563	1008,5759	product_id_1515676	1
431,1945,563	1008,5759	product_id_1515677	1
4395	5934,3877,773,2225	product_id_1515682	1
4395	10980,12696	product_id_1515704	1
4395	499,1176	product_id_1515690	1
4395	6713,6668,2985,2884	product_id_1515780	1
4395	5603,4236,4697	product_id_1515838	1
4395	1065,2888,3513	product_id_1515852	1
4395	1065,2888,3513	product_id_1515869	1
4395	540,871	product_id_1515699	1
4395	1081,6384	product_id_1515840	1
4395	2882,2289,2882	product_id_1515693	1
4395	832,5066	product_id_1515680	1
4395	5475,6080,5344	product_id_1515864	1
4395	5475,6080,5344	product_id_1515865	1
4395	5475,6080,5344	product_id_1515866	1
4395	987,652	product_id_1515867	1
4395	987,652	product_id_1515868	1
4395	987,652	product_id_1515869	1
7086,7078,7078,5239	6934,2743	product_id_1515998	1
7086,7078,7078,5239	6934,2743	product_id_1516004	1
7086,7078,7078,5239	6934,2743	product_id_1516005	1
7086,7078,7078,5239	5805,6052,7078	product_id_1515984	1
7086,7078,7078,5239	5805,6052,7078	product_id_1516001	1
7086,7078,7078,5239	5805,6052,7078	product_id_1516002	1
7086,7078,7078,5239	5805,6052,7078	product_id_1516003	1
7086,7078,7078,5239	3458,7078	product_id_1515999	1
7086,7078,7078,5239	3458,7078	product_id_1516000	1
7086,7078,7078,5239	3458,7078	product_id_1516002	1
7086,7078,7078,5239	3458,7078	product_id_1516003	1
469,1940,984	5095,2743	product_id_433704	1
469,1940,984	3392,6388,3329	product_id_1516182	1
469,1940,984	2912,4710	product_id_1516211	1
469,1940,984	2506,6929,6379	product_id_1516059	1
469,1940,984	4907,1612	product_id_1516094	1
469,1940,984	5551,2743	product_id_1516050	1
469,1940,984	5938,1161,6379	product_id_1516050	1
469,1940,984	1204,5381	product_id_433704	1
469,1940,984	2959,6379	product_id_433704	1
469,1940,984	3370,2504,3329	product_id_433704	1
469,1940,984	3345,2743	product_id_1516217	1
469,1940,984	392,6929,5381	product_id_1516149	1
469,1940,984	5938,2743,953	product_id_1516050	1
469,1940,984	7159,5067,5006	product_id_1516094	1
469,1940,984	3731,2086,4723	product_id_1516146	1
469,1940,984	6200,3113,6379	product_id_1516191	1
469,1940,984	6821,4697	product_id_667630	1
469,1940,984	3345,953	product_id_1516217	1
469,1940,984	2920,2743,953	product_id_1516050	1
469,1940,984	6962,6200,6379	product_id_1516059	1
469,1940,984	1099,1083	product_id_1516201	1
469,1940,984	3951,4692,4720	product_id_1516063	1
469,1940,984	2086,4723,2928	product_id_1516146	1
469,1940,984	6379,2743,953	product_id_1516050	1
469,1940,984	769,1831,5381	product_id_1516219	1
883,3113,6379	2028,1706,1787	product_id_1516229	1
883,3113,6379	2028,1706,1787	product_id_1516282	1
883,3113,6379	2028,1706,1787	product_id_1516283	1
883,3113,6379	6929,2457,756	product_id_1516225	1
883,3113,6379	1462,1462,452	product_id_1516246	1
883,3113,6379	6037,4484,5880	product_id_1516234	1
883,3113,6379	5623,1684,1714	product_id_1516311	1
883,3113,6379	5623,1684,1714	product_id_1516312	1
883,3113,6379	5623,1684,1714	product_id_1516313	1
883,3113,6379	5623,1684,1714	product_id_1516314	1
883,3113,6379	6734,987,4418,4966,2084,1653	product_id_1516319	1
883,3113,6379	6734,987,4418,4966,2084,1653	product_id_1516320	1
883,3113,6379	6734,987,4418,4966,2084,1653	product_id_1516321	1
883,3113,6379	6734,987,4418,4966,2084,1653	product_id_1516322	1
883,3113,6379	6200,1892,5427	product_id_1516334	1
883,3113,6379	6200,1892,5427	product_id_1516335	1
883,3113,6379	6200,1892,5427	product_id_1516336	1
883,3113,6379	5145,7094	product_id_116426	1
883,3113,6379	5145,7094	product_id_1516342	1
883,3113,6379	4998,1097,3581	product_id_1516349	1
883,3113,6379	4998,1097,3581	product_id_1516350	1
883,3113,6379	1344,450,7283,76,13270,7382,7284	product_id_1516357	1
883,3113,6379	1344,450,7283,76,13270,7382,7284	product_id_1516358	1
883,3113,6379	2755,1731	product_id_1516365	1
883,3113,6379	2755,1731	product_id_1516366	1
883,3113,6379	1066,5623,1161,6285	product_id_730176	1
883,3113,6379	1066,5623,1161,6285	product_id_1516369	1
883,3113,6379	1066,5623,1161,6285	product_id_730185	1
883,3113,6379	4098,4966,5553	product_id_1516376	1
883,3113,6379	4098,4966,5553	product_id_1516377	1
883,3113,6379	6200,1673,1787,7283,9827,18092,10067,7284	product_id_1516384	1
883,3113,6379	6200,1673,1787,7283,9827,18092,10067,7284	product_id_1516385	1
883,3113,6379	2803,756	product_id_1516389	1
883,3113,6379	2803,756	product_id_1516390	1
883,3113,6379	6929,972,752,2159	product_id_1516395	1
883,3113,6379	6929,972,752,2159	product_id_1516396	1
883,3113,6379	6929,972,752,2159	product_id_1516397	1
883,3113,6379	390,4099,2028	product_id_1516402	1
8281,16,70,770,1878,3281	2730,2585,4811	product_id_1516544	1
8281,16,70,770,1878,3281	2730,2585,4811	product_id_1516564	1
8281,16,70,770,1878,3281	2730,2585,4811	product_id_1516571	1
8281,16,70,770,1878,3281	2730,2585,4811	product_id_1516591	1
8281,16,70,770,1878,3281	2137,6647,4811	product_id_1516525	1
8281,16,70,770,1878,3281	2137,6647,4811	product_id_1516564	1
8281,16,70,770,1878,3281	2137,6647,4811	product_id_1516571	1
8281,16,70,770,1878,3281	2137,6647,4811	product_id_1516591	1
8281,16,70,770,1878,3281	6229,2605,4811	product_id_1516525	1
8281,16,70,770,1878,3281	6229,2605,4811	product_id_1516554	1
8281,16,70,770,1878,3281	6229,2605,4811	product_id_1516563	1
8281,16,70,770,1878,3281	6229,2605,4811	product_id_1516564	1
8281,16,70,770,1878,3281	753,4114,4811	product_id_1516544	1
8281,16,70,770,1878,3281	753,4114,4811	product_id_1516571	1
8281,16,70,770,1878,3281	753,4114,4811	product_id_1516581	1
8281,16,70,770,1878,3281	753,4114,4811	product_id_1516591	1
8281,16,70,770,1878,3281	4355,4811	product_id_1516511	1
8281,16,70,770,1878,3281	4355,4811	product_id_1516564	1
8281,16,70,770,1878,3281	4355,4811	product_id_1516581	1
8281,16,70,770,1878,3281	2166,1612	product_id_1516544	1
8281,16,70,770,1878,3281	2166,1612	product_id_1516563	1
8281,16,70,770,1878,3281	2166,1612	product_id_1516591	1
2441,5215,1281,1281,2695	2189,4005	product_id_1263068	1
2441,5215,1281,1281,2695	2189,4005	product_id_1516742	1
2441,5215,1281,1281,2695	2189,4005	product_id_1516753	1
2441,5215,1281,1281,2695	5187,2096,6932,1211	product_id_1263202	1
2441,5215,1281,1281,2695	5187,2096,6932,1211	product_id_1516617	1
2441,5215,1281,1281,2695	5187,2096,6932,1211	product_id_1516753	1
2441,5215,1281,1281,2695	488,4234	product_id_1263068	1
2441,5215,1281,1281,2695	488,4234	product_id_1516753	1
1593,1092	4853,4099,4743,3862	product_id_1516915	1
1593,1092	4853,4099,4743,3862	product_id_1516920	1
1593,1092	7749,6413,4853,514	product_id_1516892	1
1593,1092	5934,3877,773,2225	product_id_1516763	1
1593,1092	5934,3877,773,2225	product_id_42679	1
1593,1092	5934,3877,773,2225	product_id_1516890	1
1593,1092	4853,4099,4743,70	product_id_1516763	1
1593,1092	4853,4099,4743,70	product_id_1516915	1
1593,1092	4853,4099,4743,70	product_id_1516920	1
1593,1092	782,4099,1523	product_id_1516785	1
1593,1092	499,1176	product_id_1516768	1
1593,1092	1081,6384	product_id_1516914	1
1593,1092	1081,6384	product_id_1516915	1
1593,1092	1081,6384	product_id_1516920	1
1593,1092	751,4743,3862	product_id_1516763	1
1593,1092	751,4743,3862	product_id_1516892	1
1593,1092	751,4743,3862	product_id_1516893	1
1593,1092	601,4853,3862	product_id_1516905	1
1593,1092	601,4853,3862	product_id_1516906	1
1593,1092	3763,6378,5068	product_id_1516891	1
1593,1092	3763,6378,5068	product_id_1119935	1
1593,1092	3763,6378,5068	product_id_1516915	1
1593,1092	3763,6378,5068	product_id_1516920	1
1593,1092	488,406,488,6265	product_id_1516918	1
1593,1092	488,406,488,6265	product_id_1516919	1
1593,1092	488,406,488,6265	product_id_1516920	1
1593,1092	488,406,488,6265	product_id_1516921	1
4924,1506,6260	382,1002,6260	product_id_1516993	1
4924,1506,6260	382,1002,6260	product_id_1516994	1
4924,1506,6260	382,1002,6260	product_id_1517062	1
4924,1506,6260	382,1002,6260	product_id_1517063	1
4924,1506,6260	1444,6515,1002	product_id_1516993	1
4924,1506,6260	1444,6515,1002	product_id_1516994	1
4924,1506,6260	1444,6515,1002	product_id_1517061	1
4924,1506,6260	1444,6515,1002	product_id_1517063	1
4924,1506,6260	2143,2184,1002	product_id_1516994	1
4924,1506,6260	2143,2184,1002	product_id_1517059	1
4924,1506,6260	2143,2184,1002	product_id_1517060	1
4924,1506,6260	2143,2184,1002	product_id_1517061	1
4924,1506,6260	1830,821	product_id_1517046	1
4924,1506,6260	1830,821	product_id_1517048	1
4924,1506,6260	1830,821	product_id_1517051	1
4924,1506,6260	1830,821	product_id_1517058	1
4998,1831,4257	5747,6932,2657,532	product_id_1517113	1
4998,1831,4257	5747,6932,2657,532	product_id_1517217	1
4998,1831,4257	1093,1296,4879	product_id_1517113	1
4998,1831,4257	1093,1296,1523	product_id_1517168	1
4998,1831,4257	4062,4330,5279,4089	product_id_1517137	1
4998,1831,4257	6535,2055,714	product_id_1517115	1
4998,1831,4257	6535,2055,714	product_id_1517130	1
4998,1831,4257	4493,4599,1523	product_id_1517184	1
4998,1831,4257	4493,4599,1523	product_id_1517185	1
4998,1831,4257	6901,3322,6678	product_id_1517139	1
4998,1831,4257	4998,1296,4879	product_id_1517117	1
4998,1831,4257	4237,2086,3342,995	product_id_1517107	1
4998,1831,4257	725,401	product_id_77224	1
4998,1831,4257	725,401	product_id_1517206	1
4998,1831,4257	1605,4470,4879	product_id_1517116	1
4998,1831,4257	1605,4470,4879	product_id_1517122	1
4998,1831,4257	4062,4879	product_id_1517112	1
4998,1831,4257	388,2764,2768	product_id_1517108	1
4998,1831,4257	2872,4926,2263	product_id_1517127	1
4998,1831,4257	2794,2289	product_id_1517269	1
4998,1831,4257	2838,4099,4470	product_id_1517274	1
4998,1831,4257	2838,4099,4470	product_id_1517275	1
4998,1831,4257	4446,435,3594	product_id_1517109	1
4998,1831,4257	4446,435,3594	product_id_1517279	1
4998,1831,4257	4446,435,3594	product_id_1517280	1
4998,1831,4257	4446,435,3594	product_id_1517281	1
4998,1831,4257	769,6847,4265	product_id_1517284	1
4998,1831,4257	769,6847,4265	product_id_1517285	1
4998,1831,4257	769,6847,4265	product_id_1517286	1
6901,5707,3867,1643	6384,1643	product_id_1517388	1
6901,5707,3867,1643	6384,1643	product_id_1517389	1
6901,5707,3867,1643	6384,1643	product_id_1517390	1
6901,5707,3867,1643	6384,1643	product_id_1517391	1
6901,5707,3867,1643	4799,3867,1643	product_id_1517385	1
6901,5707,3867,1643	4799,3867,1643	product_id_1517389	1
6901,5707,3867,1643	4799,3867,1643	product_id_232114	1
6901,5707,3867,1643	4799,3867,1643	product_id_1517391	1
6901,5707,3867,1643	7094,3867,1643	product_id_373832	1
6901,5707,3867,1643	7094,3867,1643	product_id_1517383	1
6901,5707,3867,1643	7094,3867,1643	product_id_1517384	1
6901,5707,3867,1643	7094,3867,1643	product_id_1517386	1
3442,1612,2077,748,4578	9190,8134	product_id_1517509	1
3442,1612,2077,748,4578	9190,8134	product_id_1517510	1
3442,1612,2077,748,4578	9190,8134	product_id_1517511	1
3442,1612,2077,748,4578	9190,8134	product_id_1517512	1
3442,1612,2077,748,4578	401,4794,1831,6012,7283,18828,7284	product_id_1517533	1
3442,1612,2077,748,4578	401,4794,1831,6012,7283,18828,7284	product_id_1517534	1
3442,1612,2077,748,4578	401,4794,1831,6012,7283,18828,7284	product_id_1517535	1
3442,1612,2077,748,4578	401,4794,1831,6012,7283,18828,7284	product_id_1517536	1
3442,1612,2077,748,4578	4501,2031,7283,9893,7284	product_id_1517544	1
3442,1612,2077,748,4578	4501,2031,7283,9893,7284	product_id_1517545	1
3442,1612,2077,748,4578	4501,2031,7283,9893,7284	product_id_1517546	1
3442,1612,2077,748,4578	6012,997,3298	product_id_1517549	1
3442,1612,2077,748,4578	401,1307	product_id_1517564	1
3442,1612,2077,748,4578	401,1307	product_id_1517565	1
3442,1612,2077,748,4578	401,1307	product_id_1517566	1
3442,1612,2077,748,4578	401,1307	product_id_1517567	1
3442,1612,2077,748,4578	18237	product_id_1517573	1
3442,1612,2077,748,4578	18237	product_id_1517574	1
3442,1612,2077,748,4578	18237	product_id_1517575	1
3442,1612,2077,748,4578	6012,2225,4926,7283,29976,7284	product_id_1517584	1
3442,1612,2077,748,4578	6012,2225,4926,7283,29976,7284	product_id_1517585	1
3442,1612,2077,748,4578	6012,2225,4926,7283,29976,7284	product_id_1517586	1
3442,1612,2077,748,4578	6012,2225,4926,7283,29976,7284	product_id_1517587	1
3442,1612,2077,748,4578	1892,3479,3820	product_id_1517599	1
3442,1612,2077,748,4578	1892,3479,3820	product_id_1517600	1
3442,1612,2077,748,4578	1892,3479,3820	product_id_1517601	1
3442,1612,2077,748,4578	1892,3479,3820	product_id_1517602	1
3442,1612,2077,748,4578	1162,2486,2715,464	product_id_1517610	1
3442,1612,2077,748,4578	1162,2486,2715,464	product_id_1517611	1
3442,1612,2077,748,4578	1162,2486,2715,464	product_id_1517612	1
3442,1612,2077,748,4578	1162,2486,2715,464	product_id_1517613	1
3442,1612,2077,748,4578	3442,3682,3366,3487,3966,779	product_id_1517446	1
3442,1612,2077,748,4578	3442,3682,3366,3487,3966,779	product_id_1517471	1
3442,1612,2077,748,4578	5420,3298	product_id_1517446	1
3442,1612,2077,748,4578	5420,3298	product_id_1517471	1
3442,1612,2077,748,4578	5420,3298	product_id_1517626	1
3442,1612,2077,748,4578	686,6253	product_id_1517631	1
3442,1612,2077,748,4578	686,6253	product_id_1517632	1
